iter	Passed	Remaining
0	12	12416
1	23	11973
2	36	12202
3	49	12271
4	59	11762
5	71	11845
6	86	12235
7	99	12279
8	112	12371
9	125	12429
10	138	12480
11	152	12526
12	165	12595
13	180	12678
14	193	12724
15	207	12762
16	222	12853
17	237	12934
18	251	13000
19	265	13020
20	280	13076
21	296	13166
22	313	13308
23	327	13310
24	343	13394
25	358	13413
26	373	13451
27	387	13464
28	403	13506
29	418	13521
30	433	13545
31	449	13593
32	465	13651
33	481	13687
34	497	13712
35	513	13753
36	530	13802
37	545	13815
38	558	13761
39	574	13791
40	589	13794
41	605	13810
42	621	13839
43	637	13854
44	653	13867
45	668	13866
46	686	13910
47	702	13927
48	718	13945
49	734	13954
50	751	13976
51	766	13982
52	782	13987
53	799	14007
54	816	14034
55	833	14054
56	850	14078
57	867	14083
58	884	14103
59	900	14102
60	915	14098
61	930	14078
62	947	14085
63	963	14095
64	979	14095
65	998	14131
66	1015	14135
67	1031	14140
68	1048	14146
69	1065	14152
70	1080	14142
71	1097	14145
72	1113	14141
73	1124	14070
74	1141	14077
75	1158	14080
76	1175	14086
77	1191	14082
78	1207	14079
79	1224	14081
80	1241	14091
81	1259	14095
82	1276	14103
83	1296	14132
84	1311	14121
85	1327	14106
86	1343	14096
87	1359	14085
88	1374	14068
89	1390	14055
90	1404	14033
91	1420	14019
92	1436	14011
93	1452	14002
94	1469	13996
95	1485	13990
96	1502	13988
97	1520	13994
98	1537	13990
99	1553	13979
100	1569	13969
101	1585	13961
102	1601	13949
103	1614	13908
104	1630	13900
105	1639	13831
106	1656	13827
107	1673	13820
108	1690	13817
109	1706	13807
110	1723	13801
111	1739	13790
112	1755	13780
113	1772	13775
114	1789	13773
115	1806	13766
116	1823	13761
117	1840	13755
118	1856	13743
119	1873	13736
120	1889	13727
121	1907	13727
122	1924	13722
123	1941	13717
124	1959	13713
125	1975	13706
126	1991	13690
127	2008	13681
128	2025	13673
129	2041	13662
130	2057	13649
131	2074	13640
132	2091	13630
133	2107	13620
134	2123	13608
135	2140	13599
136	2157	13587
137	2173	13576
138	2190	13566
139	2206	13553
140	2222	13542
141	2238	13525
142	2254	13509
143	2269	13491
144	2284	13470
145	2300	13459
146	2316	13444
147	2332	13427
148	2348	13414
149	2364	13397
150	2379	13380
151	2396	13367
152	2412	13356
153	2428	13341
154	2444	13327
155	2460	13312
156	2476	13296
157	2492	13280
158	2512	13289
159	2528	13273
160	2543	13256
161	2559	13242
162	2575	13224
163	2592	13213
164	2607	13194
165	2622	13176
166	2638	13161
167	2654	13146
168	2671	13134
169	2688	13124
170	2708	13129
171	2723	13113
172	2738	13093
173	2755	13081
174	2772	13068
175	2788	13055
176	2804	13039
177	2821	13028
178	2838	13016
179	2855	13009
180	2872	12996
181	2888	12981
182	2904	12968
183	2921	12954
184	2938	12945
185	2953	12926
186	2969	12910
187	2985	12896
188	3002	12883
189	3019	12872
190	3035	12858
191	3052	12844
192	3068	12831
193	3085	12817
194	3101	12804
195	3120	12800
196	3136	12785
197	3153	12772
198	3170	12760
199	3187	12749
200	3203	12735
201	3220	12722
202	3236	12707
203	3252	12692
204	3269	12679
205	3286	12665
206	3303	12655
207	3319	12637
208	3334	12620
209	3350	12604
210	3367	12590
211	3382	12573
212	3398	12556
213	3414	12540
214	3429	12523
215	3444	12502
216	3459	12482
217	3475	12466
218	3492	12454
219	3508	12438
220	3525	12425
221	3541	12412
222	3558	12398
223	3575	12385
224	3591	12370
225	3608	12356
226	3624	12343
227	3640	12328
228	3657	12315
229	3673	12299
230	3691	12289
231	3710	12283
232	3726	12267
233	3743	12253
234	3759	12239
235	3775	12223
236	3792	12208
237	3809	12195
238	3825	12180
239	3841	12164
240	3858	12150
241	3874	12134
242	3891	12123
243	3909	12112
244	3925	12097
245	3942	12084
246	3959	12069
247	3975	12054
248	3991	12039
249	4007	12023
250	4024	12009
251	4041	11995
252	4056	11976
253	4073	11963
254	4089	11947
255	4104	11930
256	4121	11916
257	4138	11902
258	4153	11884
259	4169	11866
260	4184	11849
261	4200	11833
262	4216	11816
263	4231	11798
264	4247	11779
265	4262	11761
266	4278	11744
267	4293	11727
268	4310	11714
269	4326	11697
270	4342	11682
271	4359	11667
272	4375	11652
273	4393	11641
274	4410	11626
275	4426	11612
276	4443	11597
277	4459	11581
278	4476	11567
279	4493	11554
280	4509	11538
281	4525	11521
282	4540	11502
283	4559	11494
284	4578	11486
285	4597	11478
286	4616	11468
287	4633	11455
288	4650	11441
289	4668	11430
290	4686	11418
